attraction_id,city_id,city_nm,attraction_nm,address,theme,rate,longitude,latitude
A78,C01,서울,금강쇼핑센터,서울 강남구 압구정로 201-0,Shopping,4.882,127.0292731,37.53153417
A79,C01,서울,동화면세점본점,서울 종로구 세종대로 149-0,Shopping,4.881,126.9761402,37.56957113
A80,C01,서울,중랑동부시장,서울 중랑구 중랑천로10길 57-0,Shopping,4.879,127.0761781,37.59241158
A81,C01,서울,와이즈파크,서울 마포구 양화로 176-0,Shopping,4.878,126.9249862,37.55724678
A82,C01,서울,영천시장,서울 서대문구,Shopping,4.876,126.9368157,37.57916186
A83,C01,서울,하이브랜드MALL,서울 서초구 매헌로 16-0,Shopping,4.875,127.0369479,37.46246735
A84,C01,서울,에이피엠플레이스,서울 중구 을지로 276-0,Shopping,4.873,127.0084303,37.56531919
A85,C01,서울,밀리오레명동점,서울 중구 퇴계로 115-0,Shopping,4.872,126.9845142,37.56105243
A86,C01,서울,중곡제일시장,서울 광진구 긴고랑로11길 14-0,Shopping,4.87,127.0817652,37.56388274
A87,C01,서울,공릉동도깨비시장,서울 노원구 동일로180길 22-0,Shopping,4.869,127.0755238,37.62233161
A88,C01,서울,마리오아울렛2관,서울 금천구 디지털로9길 23-0,Shopping,4.867,126.8864768,37.47872057
A89,C01,서울,우림시장,서울 관악구 난곡로26길 4-0,Shopping,4.865,126.9204441,37.47029785
A90,C01,서울,남성사계시장,서울 동작구 동작대로29길 9-0,Shopping,4.864,126.9814661,37.4879389
A91,C01,서울,롯데아울렛서울역점,서울 용산구 한강대로 405-0,Shopping,4.862,126.9717326,37.5548376
A92,C01,서울,맥스타일,서울 중구 마장로 3-0,Shopping,4.861,127.010544,37.56879848
A93,C01,서울,주양쇼핑,서울 강동구 고덕로62길 55-0,Shopping,4.859,127.153459,37.55239614
A94,C01,서울,다이소대치본점,서울 강남구 도곡로 435-0,Shopping,4.858,127.0577066,37.49858616
A95,C01,서울,비트플렉스,서울 성동구 왕십리광장로 17-0,Shopping,4.856,127.0383942,37.56144175
A96,C01,서울,노룬산골목시장,서울 광진구,Shopping,4.855,127.0823852,37.53855831
A97,C01,서울,양곡도매시장,서울 서초구 양재대로12길 36-0,Shopping,4.852,127.0366377,37.45868509
A98,C01,서울,지밸리몰,서울 구로구 디지털로 300-0,Shopping,4.85,126.896538,37.48492704
A99,C01,서울,관악프라자,서울 관악구 관악로 212-0,Shopping,4.849,126.9551835,37.48362314
A100,C01,서울,동원시장,서울 중랑구 면목로74길 45-0,Shopping,4.847,127.0898932,37.58983834
A101,C01,서울,르네상스쇼핑몰,서울 관악구 신림로 340-0,Shopping,4.846,126.9300965,37.48476254
A102,C01,서울,안녕인사동,서울 종로구 인사동길 49-0,Shopping,4.844,126.9835522,37.57446687
A103,C01,서울,신곡종합시장,서울 양천구 남부순환로79길 37-0,Shopping,4.843,126.8431967,37.518369
A104,C01,서울,방신재래시장,서울 강서구 방화동로16길 32-0,Shopping,4.841,126.812647,37.57150834
A105,C01,서울,스타필드코엑스몰,서울 강남구 영동대로 513-0,Shopping,4.839,127.059159,37.51182391
A106,C01,서울,반포쇼핑타운,서울 서초구 신반포로 165-0,Shopping,4.838,127.0021717,37.50572512
A107,C01,서울,서울경동약령시장,서울 동대문구 약령중앙로 10-0,Shopping,4.836,127.0370603,37.57910781
A108,C01,서울,롯데면세점본점,서울 중구 남대문로 81-0,Shopping,4.835,126.9817304,37.5647299
A109,C01,서울,태릉시장,서울 중랑구 동일로129길 35-0,Shopping,4.833,127.0775053,37.59922257
A110,C01,서울,평화시장,서울 중구 청계천로 274-0,Shopping,4.832,127.0080476,37.56942586
A111,C01,서울,다이소위례본점,서울 송파구 위례광장로 136-0,Shopping,4.83,127.1423748,37.47719582
A112,C01,서울,대림중앙시장,서울 영등포구 디지털로37나길 15-0,Shopping,4.829,126.8995056,37.49126521
A113,C01,서울,다이소발산역점,서울 강서구 공항대로 280-0,Shopping,4.827,126.8384314,37.55803043
A114,C01,서울,와우쇼핑몰,서울 노원구 노해로 507-0,Shopping,4.826,127.0638891,37.65542724
A115,C01,서울,응암시장,서울 은평구 응암로 252-0,Shopping,4.824,126.9184145,37.5944443
A116,C01,서울,포방터시장,서울 서대문구 포방터길 46-0,Shopping,4.823,126.9491371,37.59870349
A117,C01,서울,CT LEX,서울 금천구 시흥대로 399-0,Shopping,4.821,126.8970019,37.46935918
A118,C01,서울,통인시장,서울 종로구 자하문로15길 18-0,Shopping,4.82,126.9699476,37.580767
A119,C01,서울,리치몰,서울 구로구 구로중앙로 134-0,Shopping,4.818,126.8840982,37.49998807
A120,C01,서울,파르나스몰,서울 강남구 테헤란로 521-0,Shopping,4.817,127.0608069,37.50919169
A121,C01,서울,신원시장,서울 관악구 남부순환로 1578-0,Shopping,4.815,126.925934,37.48351418
A122,C01,서울,새마을시장,서울 송파구 석촌호수로12길 7-0,Shopping,4.813,127.0855973,37.50902487
A123,C01,서울,HelloAPM,서울 중구 장충단로 253-0,Shopping,4.812,127.0080789,37.5674871
A124,C01,서울,개봉중앙시장,서울 구로구 개봉로17길 34-0,Shopping,4.81,126.8540716,37.49178393
A125,C01,서울,동대문문구완구종합시장,서울 종로구 종로54길 19-0,Shopping,4.809,127.0141511,37.57155912
A126,C01,서울,길동복조리시장,서울 강동구 천호대로187길 61-0,Shopping,4.807,127.1427747,37.5371278
A127,C01,서울,동화상가,서울 중구 장충단로13길 34-0,Shopping,4.806,127.006912,37.56860486
A128,C01,서울,동묘시장,서울 종로구 종로58길 12-0,Shopping,4.804,127.0177713,37.57284417
A129,C01,서울,성수낙낙,서울 성동구 아차산로17길 48-0,Shopping,4.803,127.0658895,37.54639376
A130,C01,서울,목동깨비시장,서울 양천구 목동중앙북로 29-0,Shopping,4.801,126.8668326,37.54826456
A131,C01,서울,신영시장,서울 양천구 월정로 161-5,Shopping,4.8,126.8360249,37.53301405
A132,C01,서울,롯데면세점월드타워점,서울 송파구 올림픽로 300-0,Shopping,4.798,127.1044469,37.51375196
A133,C01,서울,자양전통시장,서울 광진구 자양로13길 72-0,Shopping,4.797,127.0808514,37.53359477
A134,C01,서울,상계중앙시장,서울 노원구 상계로27길 19-0,Shopping,4.795,127.0700909,37.65932127
A135,C01,서울,창신동문구거리,서울 종로구,Shopping,4.794,126.97899,37.57350424
A136,C01,서울,신성종합시장,서울 광진구 용마산로 50-0,Shopping,4.792,127.0880508,37.55808075
A137,C01,서울,경창시장,서울 양천구 오목로9길 31-0,Shopping,4.791,126.8421214,37.52493416
A138,C01,서울,종로귀금속거리,서울 종로구,Shopping,4.789,126.97899,37.57350424
A139,C01,서울,송화벽화시장,서울 강서구 강서로45나길 16-0,Shopping,4.787,126.8357802,37.54877011
A140,C01,서울,면목시장,서울 중랑구 면목로37길 5-0,Shopping,4.786,127.0857942,37.57885405
A141,C01,서울,메종에르메스,서울 강남구 도산대로45길 7-0,Shopping,4.784,127.0353455,37.52278586
